"DateTime","Number of sales","Sales USD"
"2021-12-12 00:00:00",6380,404795637.88
"2021-12-13 00:00:00",5633,368525647.35
"2021-12-14 00:00:00",4883,334860801.56
"2021-12-15 00:00:00",4512,308745968.24
"2021-12-16 00:00:00",4140,277405228.26
"2021-12-17 00:00:00",3669,248713105.88
"2021-12-18 00:00:00",3410,231869162.88
"2021-12-19 00:00:00",3285,223166718.53
"2021-12-20 00:00:00",3205,218109567.79
"2021-12-21 00:00:00",3208,216572200.27
"2021-12-22 00:00:00",3261,216840782.35
"2021-12-23 00:00:00",3490,228409442.58
"2021-12-24 00:00:00",3686,239789695.92
"2021-12-25 00:00:00",3857,246713186.56
"2021-12-26 00:00:00",4360,271154587.51
"2021-12-27 00:00:00",4960,299957718.11
"2021-12-28 00:00:00",5126,311566206.12
"2021-12-29 00:00:00",5270,320057280.7
"2021-12-30 00:00:00",5397,329163674.94
"2021-12-31 00:00:00",5546,340193675.8
"2022-01-01 00:00:00",6032,383171565.92
"2022-01-02 00:00:00",6826,428977010.93
"2022-01-03 00:00:00",7309,463398129.17
"2022-01-04 00:00:00",7463,476725479.29
"2022-01-05 00:00:00",7609,490199461.06
"2022-01-06 00:00:00",7733,499200219.89
"2022-01-07 00:00:00",7805,506062174.23
"2022-01-08 00:00:00",7852,508863015.56
"2022-01-09 00:00:00",7958,525107136.59
"2022-01-10 00:00:00",8070,534986057.87
"2022-01-11 00:00:00",8138,539986871.15
"2022-01-12 00:00:00",8140,545066355.87
"2022-01-13 00:00:00",8151,548476156.06
"2022-01-14 00:00:00",8162,553704352.79
"2022-01-15 00:00:00",8266,564503975.22
"2022-01-16 00:00:00",8281,573526353
"2022-01-17 00:00:00",8367,579518787.68
"2022-01-18 00:00:00",8409,584657745.01
"2022-01-19 00:00:00",8443,588908566.16
"2022-01-20 00:00:00",8435,596601037.5
"2022-01-21 00:00:00",8406,600004951.36
"2022-01-22 00:00:00",8229,595497355.79
"2022-01-23 00:00:00",8099,589139425.47
"2022-01-24 00:00:00",7967,586911997.56
"2022-01-25 00:00:00",7707,577409748.93
"2022-01-26 00:00:00",7352,565010641.52
"2022-01-27 00:00:00",7278,561742968.36
"2022-01-28 00:00:00",7229,562502397.4
"2022-01-29 00:00:00",7310,572305845.99
"2022-01-30 00:00:00",7551,597906744.94
"2022-01-31 00:00:00",7337,589705923.24
"2022-02-01 00:00:00",6596,550745516.54
"2022-02-02 00:00:00",6129,517472539.13
"2022-02-03 00:00:00",6031,509594462.45
"2022-02-04 00:00:00",5893,501393786.61
"2022-02-05 00:00:00",5773,495521960.98
"2022-02-06 00:00:00",5699,490639075.09
"2022-02-07 00:00:00",5666,489997820.19
"2022-02-08 00:00:00",5544,474164472.05
"2022-02-09 00:00:00",5424,466639908.52
"2022-02-10 00:00:00",5369,463714199.37
"2022-02-11 00:00:00",5316,458662066.82
"2022-02-12 00:00:00",5299,457270684.78
"2022-02-13 00:00:00",5299,458476301.56
"2022-02-14 00:00:00",5189,447280488.84
"2022-02-15 00:00:00",5168,443708574.87
"2022-02-16 00:00:00",5106,442019418.49
"2022-02-17 00:00:00",5073,438340748.18
"2022-02-18 00:00:00",5021,436801171.46
"2022-02-19 00:00:00",4962,426269575.26
"2022-02-20 00:00:00",4879,417929352.57
"2022-02-21 00:00:00",4818,411868947.65
"2022-02-22 00:00:00",4751,408049751.07
"2022-02-23 00:00:00",4707,404185481.41
"2022-02-24 00:00:00",4575,394423379.84
"2022-02-25 00:00:00",4368,386547083.99
"2022-02-26 00:00:00",4263,378783561.58
"2022-02-27 00:00:00",4101,364906929.42
"2022-02-28 00:00:00",3833,342556153.86
"2022-03-01 00:00:00",3397,302298392.57
"2022-03-02 00:00:00",3060,264643117.31
"2022-03-03 00:00:00",2931,248608099.89
"2022-03-04 00:00:00",2844,241195749.05
"2022-03-05 00:00:00",2761,232742924.34
"2022-03-06 00:00:00",2711,223930775.89
"2022-03-07 00:00:00",2745,222597963.26
"2022-03-08 00:00:00",2752,223026805.68
"2022-03-09 00:00:00",2691,216370366.14
"2022-03-10 00:00:00",2695,211113896.04
"2022-03-11 00:00:00",2694,206760289.67
"2022-03-12 00:00:00",2745,212503063.01
"2022-03-13 00:00:00",2859,219398008.89
"2022-03-14 00:00:00",2852,216613378.16
"2022-03-15 00:00:00",2870,212873285.26
"2022-03-16 00:00:00",3270,239867047.36
"2022-03-17 00:00:00",4143,306839441.32
"2022-03-18 00:00:00",4568,334388124.72
"2022-03-19 00:00:00",4852,359925460.15
"2022-03-20 00:00:00",4979,369158275.75
"2022-03-21 00:00:00",5053,376098411.33
"2022-03-22 00:00:00",5118,383000044.66
"2022-03-23 00:00:00",5241,397483230.39
"2022-03-24 00:00:00",5392,410692554.33
"2022-03-25 00:00:00",5435,420159674.86
"2022-03-26 00:00:00",5357,421174371.16
"2022-03-27 00:00:00",5362,422485049.06
"2022-03-28 00:00:00",5399,428109446.13
"2022-03-29 00:00:00",5461,435790469.32
"2022-03-30 00:00:00",5516,442353504.46
"2022-03-31 00:00:00",5574,450948307.42
"2022-04-01 00:00:00",5616,455194446.7
"2022-04-02 00:00:00",5663,460473301.21
"2022-04-03 00:00:00",5656,463032737.56
"2022-04-04 00:00:00",5677,470121346.75
"2022-04-05 00:00:00",5780,483014345.7
"2022-04-06 00:00:00",5765,484231523.3
"2022-04-07 00:00:00",5746,483798458.39
"2022-04-08 00:00:00",5776,487314270.6
"2022-04-09 00:00:00",5703,487792707.26
"2022-04-10 00:00:00",5665,490865463.8
"2022-04-11 00:00:00",5615,487201304.22
"2022-04-12 00:00:00",5506,481528639.54
"2022-04-13 00:00:00",5532,485534501.8
"2022-04-14 00:00:00",5485,484424958.66
"2022-04-15 00:00:00",5079,456188517.08
"2022-04-16 00:00:00",4174,383808523.97
"2022-04-17 00:00:00",3731,354096503.95
"2022-04-18 00:00:00",3587,341185628.01
"2022-04-19 00:00:00",3701,357170155.1
"2022-04-20 00:00:00",3823,375208430.31
"2022-04-21 00:00:00",3875,380539168.92
"2022-04-22 00:00:00",4060,380559202.14
"2022-04-23 00:00:00",4096,384276066.28
"2022-04-24 00:00:00",4339,406048035.44
"2022-04-25 00:00:00",4642,429009326.35
"2022-04-26 00:00:00",4801,438401327.44
"2022-04-27 00:00:00",4886,445755158.5
"2022-04-28 00:00:00",4967,455875688.86
"2022-04-29 00:00:00",5175,486397176.67
"2022-04-30 00:00:00",5425,521874923.43
"2022-05-01 00:00:00",6067,598290486.63
"2022-05-02 00:00:00",6381,624141498.61
"2022-05-03 00:00:00",6594,641098139.02
"2022-05-04 00:00:00",6925,675330743.07
"2022-05-05 00:00:00",6921,673205557.12
"2022-05-06 00:00:00",6985,675440028.94
"2022-05-07 00:00:00",7061,679031392.58
"2022-05-08 00:00:00",7090,678943947.61
"2022-05-09 00:00:00",7321,690725412.37
"2022-05-10 00:00:00",7608,705394019.31
"2022-05-11 00:00:00",7698,709358429.12
"2022-05-12 00:00:00",7842,712187446.24
"2022-05-13 00:00:00",7963,715785525.86
"2022-05-14 00:00:00",7972,714298003.53
"2022-05-15 00:00:00",7966,712213107.19
"2022-05-16 00:00:00",7986,712430781.34
"2022-05-17 00:00:00",7992,710853937.98
"2022-05-18 00:00:00",7863,697825738.59
"2022-05-19 00:00:00",7650,673242426.6
"2022-05-20 00:00:00",7454,648882444.51
