"DateTime","Number of sales","Sales USD"
"2022-05-30 00:00:00",16165,231411139.38
"2022-05-31 00:00:00",15946,224262695.43
"2022-06-01 00:00:00",15537,211250203.52
"2022-06-02 00:00:00",15396,204630938.34
"2022-06-03 00:00:00",15221,198269952.9
"2022-06-04 00:00:00",13593,166222511.12
"2022-06-05 00:00:00",12832,152064921.36
"2022-06-06 00:00:00",12646,147400177.37
"2022-06-07 00:00:00",12463,144152158.23
"2022-06-08 00:00:00",11546,130601229.06
"2022-06-09 00:00:00",7787,79830467.76
"2022-06-10 00:00:00",5648,56739348.73
"2022-06-11 00:00:00",4897,49601516.77
"2022-06-12 00:00:00",3399,33152230.68
"2022-06-13 00:00:00",3311,31348227.99
"2022-06-14 00:00:00",3268,30756108.67
"2022-06-15 00:00:00",3220,29966223.09
"2022-06-16 00:00:00",3187,29905609.76
"2022-06-17 00:00:00",3171,29763363.25
"2022-06-18 00:00:00",3130,29394590.44
"2022-06-19 00:00:00",3098,29316366.17
"2022-06-20 00:00:00",3140,29757754.07
"2022-06-21 00:00:00",3224,30253099.3
"2022-06-22 00:00:00",3316,30589879.83
"2022-06-23 00:00:00",3298,29691082.45
"2022-06-24 00:00:00",3273,30321934.5
"2022-06-25 00:00:00",3201,29808152.5
"2022-06-26 00:00:00",3080,28414403.8
"2022-06-27 00:00:00",3039,28120752.49
"2022-06-28 00:00:00",3016,28551690.15
"2022-06-29 00:00:00",2854,27471981.14
"2022-06-30 00:00:00",2805,27156408.48
"2022-07-01 00:00:00",2770,26930482.55
"2022-07-02 00:00:00",2741,27083931.03
"2022-07-03 00:00:00",2709,27160110.42
"2022-07-04 00:00:00",2692,27209988.29
"2022-07-05 00:00:00",2667,26539317.53
"2022-07-06 00:00:00",2573,26571538.35
"2022-07-07 00:00:00",2562,26270677.36
"2022-07-08 00:00:00",2552,25181922.77
"2022-07-09 00:00:00",2574,24301113.07
"2022-07-10 00:00:00",2552,23702614.15
"2022-07-11 00:00:00",2493,23536900.52
"2022-07-12 00:00:00",2424,22865157.68
"2022-07-13 00:00:00",2228,21489748.32
"2022-07-14 00:00:00",2138,20724043.8
"2022-07-15 00:00:00",2120,20229259.63
"2022-07-16 00:00:00",2062,19139971.43
"2022-07-17 00:00:00",2022,18301133.7
"2022-07-18 00:00:00",1979,17482740.35
"2022-07-19 00:00:00",1948,17048616.1
"2022-07-20 00:00:00",1865,16138554.5
"2022-07-21 00:00:00",1749,14935387.04
"2022-07-22 00:00:00",1631,14034482.03
"2022-07-23 00:00:00",1604,13754577.64
"2022-07-24 00:00:00",1579,12923376.35
"2022-07-25 00:00:00",1573,12556376.86
"2022-07-26 00:00:00",1568,12539347.59
"2022-07-27 00:00:00",1567,12485870.64
"2022-07-28 00:00:00",1577,12079584.8
"2022-07-29 00:00:00",1620,11893084.33
"2022-07-30 00:00:00",1598,11664532.24
"2022-07-31 00:00:00",1579,11241686.84
"2022-08-01 00:00:00",1586,11141919.9
"2022-08-02 00:00:00",1588,10861125.93
"2022-08-03 00:00:00",1577,10627871.26
"2022-08-04 00:00:00",1566,10546760.76
"2022-08-05 00:00:00",1539,9907337.91
"2022-08-06 00:00:00",1569,9555815.65
"2022-08-07 00:00:00",1634,9300589.86
"2022-08-08 00:00:00",1619,9096329.64
"2022-08-09 00:00:00",1622,9068339.53
"2022-08-10 00:00:00",1634,9063335.39
"2022-08-11 00:00:00",1675,9347332.02
"2022-08-12 00:00:00",1684,9301949.35
"2022-08-13 00:00:00",1689,9245431.72
"2022-08-14 00:00:00",1708,9511707.71
"2022-08-15 00:00:00",1733,9795669.17
"2022-08-16 00:00:00",1756,10012582.5
"2022-08-17 00:00:00",1769,10056748.02
"2022-08-18 00:00:00",1750,9747768.26
"2022-08-19 00:00:00",1758,9646258.77
"2022-08-20 00:00:00",1785,9762000.83
"2022-08-21 00:00:00",1784,9846042.01
"2022-08-22 00:00:00",1799,9982367.69
"2022-08-23 00:00:00",1964,10247116.08
"2022-08-24 00:00:00",2040,10680427.93
"2022-08-25 00:00:00",2268,12183263.93
"2022-08-26 00:00:00",2339,12788001.54
"2022-08-27 00:00:00",2329,12642821.4
"2022-08-28 00:00:00",2281,12388580.03
"2022-08-29 00:00:00",2288,12165761.82
"2022-08-30 00:00:00",2328,12156467.82
"2022-08-31 00:00:00",2344,12012588.04
"2022-09-01 00:00:00",2350,12047317.85
"2022-09-02 00:00:00",2363,12132209.71
"2022-09-03 00:00:00",2365,12070086.33
"2022-09-04 00:00:00",2353,11939927.15
"2022-09-05 00:00:00",2319,11824249.53
"2022-09-06 00:00:00",2252,11911728.06
"2022-09-07 00:00:00",2291,12038118.66
"2022-09-08 00:00:00",2284,11855495.42
"2022-09-09 00:00:00",2257,11713021.32
"2022-09-10 00:00:00",2219,11241432.16
"2022-09-11 00:00:00",2191,11142581.24
"2022-09-12 00:00:00",2184,11038952.67
"2022-09-13 00:00:00",2237,11025992.47
"2022-09-14 00:00:00",2184,10587688
"2022-09-15 00:00:00",2162,10384571.42
"2022-09-16 00:00:00",2191,10373879.45
"2022-09-17 00:00:00",2508,11784702.1
"2022-09-18 00:00:00",2511,11688038.18
"2022-09-19 00:00:00",2572,12078142.93
"2022-09-20 00:00:00",2782,12830437.75
"2022-09-21 00:00:00",2899,13501633.12
"2022-09-22 00:00:00",2808,13645489.15
"2022-09-23 00:00:00",2803,13570551.48
"2022-09-24 00:00:00",2617,12415953.66
"2022-09-25 00:00:00",2562,11845801.04
"2022-09-26 00:00:00",2551,11708599.58
"2022-09-27 00:00:00",2562,11739070.85
"2022-09-28 00:00:00",2578,11877015.02
"2022-09-29 00:00:00",2548,11925015.24
"2022-09-30 00:00:00",2545,12126067.27
"2022-10-01 00:00:00",2550,12092833.53
"2022-10-02 00:00:00",2543,11985903.48
"2022-10-03 00:00:00",2558,12011513.22
"2022-10-04 00:00:00",2590,12295689.1
"2022-10-05 00:00:00",2593,12232812.5
"2022-10-06 00:00:00",2593,12240754.99
"2022-10-07 00:00:00",2539,12078399.54
"2022-10-08 00:00:00",2546,12195377.73
"2022-10-09 00:00:00",2571,12404374.49
"2022-10-10 00:00:00",2590,12625889.33
"2022-10-11 00:00:00",2640,12917746.18
"2022-10-12 00:00:00",2672,12881930.25
"2022-10-13 00:00:00",2629,13088667.3
"2022-10-14 00:00:00",2738,13722092.83
"2022-10-15 00:00:00",2860,14785111.36
"2022-10-16 00:00:00",2866,14944109.26
"2022-10-17 00:00:00",2913,15459310.04
"2022-10-18 00:00:00",3023,16254360.45
"2022-10-19 00:00:00",2966,16055027.78
"2022-10-20 00:00:00",2765,15341933.58
"2022-10-21 00:00:00",2650,14970552.2
"2022-10-22 00:00:00",2625,14972522.75
"2022-10-23 00:00:00",2623,15254616.33
"2022-10-24 00:00:00",2628,15251245.42
"2022-10-25 00:00:00",2689,15690222.9
"2022-10-26 00:00:00",2713,16343078.16
"2022-10-27 00:00:00",2715,16606433.41
"2022-10-28 00:00:00",2744,17085320.8
"2022-10-29 00:00:00",2761,17272499.2
"2022-10-30 00:00:00",2840,17382904.36
"2022-10-31 00:00:00",2899,17916230.22
"2022-11-01 00:00:00",2940,18363203.87
"2022-11-02 00:00:00",2955,18612598.65
"2022-11-03 00:00:00",2947,18691184.49
"2022-11-04 00:00:00",2964,18965203.08
"2022-11-05 00:00:00",2952,19015753.49
"2022-11-06 00:00:00",2974,19090134.19
"2022-11-07 00:00:00",2970,19101566.31
"2022-11-08 00:00:00",2974,19189095.99
"2022-11-09 00:00:00",3028,19345078.74
"2022-11-10 00:00:00",3067,19677189.14
"2022-11-11 00:00:00",3066,20159994.63
"2022-11-12 00:00:00",3071,20001393.74
"2022-11-13 00:00:00",3012,19670834.1
"2022-11-14 00:00:00",2910,18835407.34
"2022-11-15 00:00:00",2942,18910200.29
"2022-11-16 00:00:00",2650,17419043.17
"2022-11-17 00:00:00",2571,17489950.76
"2022-11-18 00:00:00",2601,17620621.78
"2022-11-19 00:00:00",2678,17869055.2
"2022-11-20 00:00:00",2681,17620279.28
"2022-11-21 00:00:00",2652,17258155.91
"2022-11-22 00:00:00",2636,16723038.33
"2022-11-23 00:00:00",2613,16458707.27
"2022-11-24 00:00:00",2568,16065140.98
"2022-11-25 00:00:00",2560,15457698.31
"2022-11-26 00:00:00",2581,15319244.9
"2022-11-27 00:00:00",2692,15597291.76
"2022-11-28 00:00:00",2710,15575376.12
"2022-11-29 00:00:00",2648,15378986.96
"2022-11-30 00:00:00",2623,15111891.9
"2022-12-01 00:00:00",2611,15129211.57
"2022-12-02 00:00:00",2692,15631452.37
"2022-12-03 00:00:00",2777,16014882.84
"2022-12-04 00:00:00",2862,16340305.52
"2022-12-05 00:00:00",2895,16462309.42
"2022-12-06 00:00:00",3158,18331765.01
"2022-12-07 00:00:00",3290,19119318.52
"2022-12-08 00:00:00",3312,19128026.18
"2022-12-09 00:00:00",3279,19125240.68
"2022-12-10 00:00:00",3874,22710024.56
"2022-12-11 19:13:08",4134,23184529.09
