"DateTime","Number of sales","Sales USD"
"2021-12-12 00:00:00",405,1254561.92
"2021-12-13 00:00:00",399,1223199.44
"2021-12-14 00:00:00",435,1312841.4
"2021-12-15 00:00:00",402,1230099.77
"2021-12-16 00:00:00",393,1270850.63
"2021-12-17 00:00:00",429,1272617.21
"2021-12-18 00:00:00",341,910595.99
"2021-12-19 00:00:00",13893,2572372.18
"2021-12-20 00:00:00",16184,3001504.76
"2021-12-21 00:00:00",17131,3246342.17
"2021-12-22 00:00:00",17380,3261545.2
"2021-12-23 00:00:00",17678,3264355.79
"2021-12-24 00:00:00",17935,3289316.48
"2021-12-25 00:00:00",18381,3466425.86
"2021-12-26 00:00:00",5249,1879819.59
"2021-12-27 00:00:00",3243,1667282.86
"2021-12-28 00:00:00",2353,1356636.17
"2021-12-29 00:00:00",2153,1360786.52
"2021-12-30 00:00:00",1906,1297294.2
"2021-12-31 00:00:00",1729,1317286.78
"2022-01-01 00:00:00",1398,1230107.71
"2022-01-02 00:00:00",1092,1007799.81
"2022-01-03 00:00:00",968,833509.3
"2022-01-04 00:00:00",968,871036.32
"2022-01-05 00:00:00",1058,1098102.43
"2022-01-06 00:00:00",2149,4488918.62
"2022-01-07 00:00:00",5699,8281623.99
"2022-01-08 00:00:00",6911,9742902.16
"2022-01-09 00:00:00",7108,10525118.78
"2022-01-10 00:00:00",7100,10649342.85
"2022-01-11 00:00:00",7186,11025402.79
"2022-01-12 00:00:00",7104,10884918.59
"2022-01-13 00:00:00",6014,7593063.14
"2022-01-14 00:00:00",2373,3741174.26
"2022-01-15 00:00:00",1101,2232329.92
"2022-01-16 00:00:00",783,1427928.12
"2022-01-17 00:00:00",678,1257590.2
"2022-01-18 00:00:00",541,831133.11
"2022-01-19 00:00:00",553,766869.56
"2022-01-20 00:00:00",528,721159.27
"2022-01-21 00:00:00",515,673264.16
"2022-01-22 00:00:00",523,580800.46
"2022-01-23 00:00:00",528,552965.23
"2022-01-24 00:00:00",498,548675.98
"2022-01-25 00:00:00",499,592902.77
"2022-01-26 00:00:00",452,515549.07
"2022-01-27 00:00:00",428,458936.51
"2022-01-28 00:00:00",536,596534.55
"2022-01-29 00:00:00",468,568602.05
"2022-01-30 00:00:00",479,629474.41
"2022-01-31 00:00:00",535,768127.74
"2022-02-01 00:00:00",581,890117.62
"2022-02-02 00:00:00",627,948286.26
"2022-02-03 00:00:00",709,1010360.46
"2022-02-04 00:00:00",599,877268.63
"2022-02-05 00:00:00",634,903291.99
"2022-02-06 00:00:00",610,842799.65
"2022-02-07 00:00:00",577,735441.52
"2022-02-08 00:00:00",587,717451.14
"2022-02-09 00:00:00",589,640454.61
"2022-02-10 00:00:00",562,639047.97
"2022-02-11 00:00:00",592,645448.08
"2022-02-12 00:00:00",560,608196.08
"2022-02-13 00:00:00",525,606963.51
"2022-02-14 00:00:00",492,540648.7
"2022-02-15 00:00:00",586,610173.34
"2022-02-16 00:00:00",560,701315.45
"2022-02-17 00:00:00",503,659252.6
"2022-02-18 00:00:00",496,636098.22
"2022-02-19 00:00:00",512,660411.27
"2022-02-20 00:00:00",510,646335.17
"2022-02-21 00:00:00",508,632713.68
"2022-02-22 00:00:00",360,386548.66
"2022-02-23 00:00:00",347,305832.55
"2022-02-24 00:00:00",366,274838.07
"2022-02-25 00:00:00",339,276442.24
"2022-02-26 00:00:00",323,294870.35
"2022-02-27 00:00:00",338,288824.05
"2022-02-28 00:00:00",344,273725.71
"2022-03-01 00:00:00",339,270199.52
"2022-03-02 00:00:00",305,225090.96
"2022-03-03 00:00:00",323,237306.24
"2022-03-04 00:00:00",299,209321.03
"2022-03-05 00:00:00",287,161541.87
"2022-03-06 00:00:00",259,143032.22
"2022-03-07 00:00:00",232,127543.28
"2022-03-08 00:00:00",193,116927.96
"2022-03-09 00:00:00",200,142671.41
"2022-03-10 00:00:00",210,167645.88
