"DateTime","Number of sales","Sales USD"
"2021-12-12 00:00:00",558,10141324.48
"2021-12-13 00:00:00",2967,69535107.89
"2021-12-14 00:00:00",4197,114643767.34
"2021-12-15 00:00:00",4591,128888701.78
"2021-12-16 00:00:00",4851,136715283.2
"2021-12-17 00:00:00",5046,143223510.81
"2021-12-18 00:00:00",5236,151165086.94
"2021-12-19 00:00:00",5387,156256118.59
"2021-12-20 00:00:00",5520,160053707.85
"2021-12-21 00:00:00",5644,163862158.34
"2021-12-22 00:00:00",5764,167219674.29
"2021-12-23 00:00:00",5843,169480542.18
"2021-12-24 00:00:00",5946,172291901.57
"2021-12-25 00:00:00",6039,174698754.62
"2021-12-26 00:00:00",6124,177117855.57
"2021-12-27 00:00:00",6214,180835729.7
"2021-12-28 00:00:00",6315,183920134.87
"2021-12-29 00:00:00",6416,186491771.25
"2021-12-30 00:00:00",6480,187942890.87
"2021-12-31 00:00:00",6580,190002318.17
"2022-01-01 00:00:00",6669,191946043.32
"2022-01-02 00:00:00",6793,194674644.34
"2022-01-03 00:00:00",7120,202766743.6
"2022-01-04 00:00:00",7406,211436913.99
"2022-01-05 00:00:00",7505,214313128.19
"2022-01-06 00:00:00",7586,216610024.16
"2022-01-07 00:00:00",7667,218557546.17
"2022-01-08 00:00:00",7740,220165196.74
"2022-01-09 00:00:00",7795,221477423.54
"2022-01-10 00:00:00",7875,223376050.23
"2022-01-11 00:00:00",7391,214875268.64
"2022-01-12 00:00:00",5059,157734522.93
"2022-01-13 00:00:00",3996,118367582.54
"2022-01-14 00:00:00",3689,106451518.22
"2022-01-15 00:00:00",3495,100849211.07
"2022-01-16 00:00:00",3375,96317058.32
"2022-01-17 00:00:00",3244,89932143.56
"2022-01-18 00:00:00",3165,87413685.86
"2022-01-19 00:00:00",3109,85736706.79
"2022-01-20 00:00:00",3078,84370712.89
"2022-01-21 00:00:00",3127,86640126.31
"2022-01-22 00:00:00",3191,87069988.45
"2022-01-23 00:00:00",3179,86596954.79
"2022-01-24 00:00:00",3166,85588091.09
"2022-01-25 00:00:00",3187,85390555.9
"2022-01-26 00:00:00",3512,90377064.49
"2022-01-27 00:00:00",3678,96953858.42
"2022-01-28 00:00:00",3919,105894918.19
"2022-01-29 00:00:00",4173,120400819.78
"2022-01-30 00:00:00",4280,127908858.68
"2022-01-31 00:00:00",4555,146915891.71
"2022-02-01 00:00:00",4620,156371499.97
"2022-02-02 00:00:00",4448,155688942.26
"2022-02-03 00:00:00",4337,154631001.21
"2022-02-04 00:00:00",4371,159499281.04
"2022-02-05 00:00:00",4348,160292027.8
"2022-02-06 00:00:00",4344,162236093.77
"2022-02-07 00:00:00",4380,167366084.55
"2022-02-08 00:00:00",4395,170655775.99
"2022-02-09 00:00:00",4399,174897085.32
"2022-02-10 00:00:00",4374,175911376.53
"2022-02-11 00:00:00",4354,177550601.39
"2022-02-12 00:00:00",4234,174389632.13
"2022-02-13 00:00:00",4184,174677481.32
"2022-02-14 00:00:00",4185,175429959.92
"2022-02-15 00:00:00",4147,175559380.54
"2022-02-16 00:00:00",4148,177154553.75
"2022-02-17 00:00:00",4116,176579583.69
"2022-02-18 00:00:00",4083,177051185.19
"2022-02-19 00:00:00",4022,176333337.76
"2022-02-20 00:00:00",3881,171731389.62
"2022-02-21 00:00:00",3781,170824071.49
"2022-02-22 00:00:00",3737,170479509.21
"2022-02-23 00:00:00",3691,170556869.22
"2022-02-24 00:00:00",3685,171475131.38
"2022-02-25 00:00:00",3348,164756778.12
"2022-02-26 00:00:00",3116,157155934.09
"2022-02-27 00:00:00",2803,146826978.69
"2022-02-28 00:00:00",2521,132170646.83
"2022-03-01 00:00:00",2348,123302185.23
"2022-03-02 00:00:00",2031,104879008.13
"2022-03-03 00:00:00",1897,96128874.92
"2022-03-04 00:00:00",1788,91470943.04
"2022-03-05 00:00:00",1658,85615997.36
"2022-03-06 00:00:00",1556,79293801.25
"2022-03-07 00:00:00",1565,78935055.27
"2022-03-08 00:00:00",1543,76887265.97
"2022-03-09 00:00:00",1464,71656289.17
"2022-03-10 00:00:00",1430,67926754.95
"2022-03-11 00:00:00",1379,62811661.73
"2022-03-12 00:00:00",1362,61382887.41
"2022-03-13 00:00:00",1332,58443853.15
"2022-03-14 00:00:00",1331,57285403.1
"2022-03-15 00:00:00",1333,56033185.59
"2022-03-16 00:00:00",1297,54114876.36
"2022-03-17 00:00:00",1329,54878268.19
"2022-03-18 00:00:00",1364,55758502.53
"2022-03-19 00:00:00",1438,59445655.6
"2022-03-20 00:00:00",1444,59610779.6
"2022-03-21 00:00:00",1446,59571656.88
