"DateTime","Number of sales","Sales USD"
"2022-01-12 00:00:00",11270,44940032.7
"2022-01-13 00:00:00",13594,56769018.02
"2022-01-14 00:00:00",14230,60571284.4
"2022-01-15 00:00:00",14759,65011172.68
"2022-01-16 00:00:00",15127,67532744.64
"2022-01-17 00:00:00",15478,70092030.7
"2022-01-18 00:00:00",15888,73386310.98
"2022-01-19 00:00:00",5278,33679599.48
"2022-01-20 00:00:00",5144,48352199.56
"2022-01-21 00:00:00",6436,73111323.34
"2022-01-22 00:00:00",6349,74270373.08
"2022-01-23 00:00:00",6316,76218826.88
"2022-01-24 00:00:00",6275,77187430.67
"2022-01-25 00:00:00",6520,83097889.63
"2022-01-26 00:00:00",7171,106295766.57
"2022-01-27 00:00:00",5602,95807326.18
"2022-01-28 00:00:00",3912,73462492.82
"2022-01-29 00:00:00",3683,73531087.32
"2022-01-30 00:00:00",3693,78665402.23
"2022-01-31 00:00:00",3781,87155321.01
"2022-02-01 00:00:00",3787,108748478.16
"2022-02-02 00:00:00",2691,89016161.77
"2022-02-03 00:00:00",2218,77583471.03
"2022-02-04 00:00:00",2210,78496318.82
"2022-02-05 00:00:00",2097,76060252.04
"2022-02-06 00:00:00",1872,70412556.7
"2022-02-07 00:00:00",1677,66032826.25
"2022-02-08 00:00:00",1069,37356619.64
"2022-02-09 00:00:00",955,32397561.24
"2022-02-10 00:00:00",906,31366769.12
"2022-02-11 00:00:00",747,27085527.28
"2022-02-12 00:00:00",720,26922076.93
"2022-02-13 00:00:00",730,28434252.33
"2022-02-14 00:00:00",626,25449402.03
"2022-02-15 00:00:00",794,34663407.54
"2022-02-16 00:00:00",793,35616821.94
"2022-02-17 00:00:00",766,35660272.7
"2022-02-18 00:00:00",750,35588495.2
"2022-02-19 00:00:00",719,34485790.68
"2022-02-20 00:00:00",664,31800267.14
"2022-02-21 00:00:00",616,29014463.31
"2022-02-22 00:00:00",455,19777143.06
"2022-02-23 00:00:00",408,16751501.65
"2022-02-24 00:00:00",475,16787847.82
"2022-02-25 00:00:00",524,16961759.45
"2022-02-26 00:00:00",501,15703658.04
"2022-02-27 00:00:00",460,14076209.06
"2022-02-28 00:00:00",441,13278463.15
"2022-03-01 00:00:00",407,12218594.4
"2022-03-02 00:00:00",386,11790410.44
"2022-03-03 00:00:00",316,10231128.29
"2022-03-04 00:00:00",304,10109231.26
"2022-03-05 00:00:00",323,10368994.52
"2022-03-06 00:00:00",313,9948828.28
"2022-03-07 00:00:00",335,10086905.69
"2022-03-08 00:00:00",351,9925167.21
"2022-03-09 00:00:00",347,9422842.15
"2022-03-10 00:00:00",312,8392655.15
"2022-03-11 00:00:00",251,6461643.79
"2022-03-12 00:00:00",254,6549044.62
"2022-03-13 00:00:00",278,7248859.33
"2022-03-14 00:00:00",245,6784208.4
"2022-03-15 00:00:00",228,6631757.27
"2022-03-16 00:00:00",230,7025961.01
"2022-03-17 00:00:00",262,8009090.98
"2022-03-18 00:00:00",491,15734409.69
"2022-03-19 00:00:00",518,16993702.28
"2022-03-20 00:00:00",518,17557027.38
"2022-03-21 00:00:00",539,18118360.59
"2022-03-22 00:00:00",576,19726592.15
"2022-03-23 00:00:00",686,23497999.61
"2022-03-24 00:00:00",943,36495555
