DateTime,Cryptopunks,Azuki,Bored Ape Yacht Club,CloneX,Pudgy Penguins
2022-01-12,267802.31442588725,3987.5805412599825,66961.46878009828,31178.992474797393,606.3451787836233
2022-01-13,266330.0360042735,4176.034869795499,67289.43148816096,29621.517152152155,605.9763020102852
2022-01-14,264427.05997835496,4256.590611384399,67839.29830801273,28856.470105719705,605.4118571479897
2022-01-15,262974.43262582057,4404.84942611288,68292.27863779338,28855.282137339054,605.610830198144
2022-01-16,258455.9870179372,4464.384520393997,69258.10324839996,28538.38765037037,603.8788159449878
2022-01-17,257471.85872246695,4528.494036697248,69262.43428708019,27722.60898890259,602.6020646961998
2022-01-18,256044.7882352941,4618.977277190333,69527.61862409323,27618.85809162717,1043.2803062787136
2022-01-19,252347.49588865097,4751.00508701958,69751.10341821627,27576.94010614346,1202.979963756178
2022-01-20,249478.37308351177,5610.055373038745,70729.22791938353,27410.88787849253,1278.5790905033916
2022-01-21,248484.28338461538,6468.7219466757,71378.17646443017,27707.107870163098,1300.3416466083152
2022-01-22,244966.19967602592,6598.519317794201,72365.70127476,27286.113585083047,1322.153368049098
2022-01-23,229852.73169014085,6703.892716504221,72742.24292752192,27240.312925448256,1343.403953775918
2022-01-24,224724.21061032865,6770.535621293615,73667.87969875737,27033.50950410613,1383.5404372453543
2022-01-25,216277.55489361702,6983.407738754017,74920.16983651226,26793.396893630375,1424.7970122712147
2022-01-26,218802.72237569062,7796.087472068805,76851.28421109902,25733.788294419133,1438.917848967804
2022-01-27,218413.53283088235,8255.075750205422,77183.69996702392,26360.4835290919,1447.0848658260588
2022-01-28,216673.1399133449,8428.069841728375,77811.92383455526,27020.90282980352,1443.4707742487435
2022-01-29,214659.73021126763,8584.269818482513,78290.81340492476,28852.34118859334,1448.0190188922284
2022-01-30,215861.49039783003,8848.542876750478,79182.45860680705,29885.24735514019,1450.4249579015545
2022-01-31,217060.46916666668,9181.27917208428,80374.25694970696,32253.763273326018,1463.1073304347826
2022-02-01,215555.76253571428,10125.316998663868,83496.89456337174,33846.64501515152,1491.8359011532127
2022-02-02,215636.21164930554,10372.266585384323,84430.17443791809,35002.01040017985,1506.1300988010657
2022-02-03,214779.68488095238,10486.934813992018,84495.84852429116,35653.90851049113,1504.08255210643
2022-02-04,198851.036703125,10663.03641145289,85082.94359579161,36490.34112102493,1493.1468083670716
2022-02-05,208529.9040338983,10743.56163009521,85834.39476528668,36865.69176632935,1269.5960197410589
2022-02-06,208842.6457679181,10842.325623889217,86092.13460080716,37347.16707412523,1436.6257389221557
2022-02-07,209213.06127986347,11042.137688067325,86480.37772502647,38211.434828767124,1553.7776692254013
2022-02-08,209876.62824324323,11098.492459653757,85527.50217352093,38829.528097838454,1461.1061339009289
2022-02-09,223945.63227655986,11194.194107801937,86032.43151179941,39758.37356671971,1425.0427272727272
2022-02-10,223555.18910472974,11283.090005097582,86368.82089215869,40217.5072085048,1327.408092654424
2022-02-11,224361.56040336133,16463.997169996925,86279.54605342362,40778.73251952227,1276.2987016806724
2022-02-12,263507.8589108911,18483.369774511204,86293.76953764861,41187.91500472366,1243.822535151257
2022-02-13,263391.63462035544,19299.11891989932,86521.28732968484,41748.92000956023,1230.6410442629995
2022-02-14,264187.04161500814,19949.97996559107,86197.8201657352,41918.74789008363,1223.5026938413823
2022-02-15,264098.4149430894,20858.399297811462,85856.92238196594,42334.06813117916,1239.1049308755762
2022-02-16,264309.94357495883,21439.58304416404,86568.62876811594,42708.426651398266,1261.8986717108028
2022-02-17,264295.9178202995,22050.94357640577,86406.6130849596,42900.77349125365,1275.9072434266327
2022-02-18,265153.3431081081,22978.25762119792,86994.85589723162,43363.01376193975,1251.3213818338354
2022-02-19,266423.9879304348,25566.746807800602,85906.80678355502,43842.20232720039,1226.2992235092236
2022-02-20,266622.54441901407,28358.511138831436,85658.81380815741,44249.26297861376,1221.693673557278
2022-02-21,270129.08323636366,29360.09914363513,85485.46028435035,45179.60102882836,1254.843354148082
2022-02-22,273580.9735984849,30166.658768033947,85887.12925068407,45619.349534385874,1257.921090581343
2022-02-23,257795.4813508772,31031.554965507115,85869.02090715956,46208.85104849634,1238.426171454219
2022-02-24,268637.7768893528,32689.011243449262,86212.76062076502,46533.27852917232,1209.2245303370787
2022-02-25,266555.8486123348,35434.538817288805,88495.21153617217,49210.50720430107,1207.1098371040725
2022-02-26,253331.38224279834,36777.15396836007,88853.755941825,50435.15214698331,1210.4390521114105
2022-02-27,250762.96963675215,37347.142485994395,88979.98766642282,52382.083014627184,1190.7072551789076
2022-02-28,249542.36675324675,37874.06874238363,89370.2462457605,52427.864668782226,1189.0851983002833
2022-03-01,242468.58034934496,38803.242510570824,88989.81235501914,52513.70750851789,1169.8181866281866
2022-03-02,240138.0566966292,39804.878118782915,86484.67885947712,51639.098045297884,1109.1975675675676
2022-03-03,239447.9583143508,37977.83224699222,84820.23196519958,50674.156520822355,1035.949771225216
2022-03-04,236722.94504694836,37534.17390677025,84808.63187412095,51158.245548098435,1024.8392667375133
2022-03-05,237998.39695652176,37732.89259159275,84296.60425208259,51638.11662243667,1023.0702549889136
2022-03-06,269008.0881615599,38310.71129451194,82600.80261527111,50960.026510282776,1006.0682735426009
2022-03-07,267886.63830985915,38199.042165741135,81092.15419307833,50437.734996805106,1015.5791025641025
2022-03-08,265776.25129577465,38154.69737958462,81041.71718023256,49829.725191186,1026.582623345367
2022-03-09,262136.15467966575,38047.456566091954,80405.18994425863,48945.552711748634,1001.4846576187538
