"DateTime","Number of sales","Sales USD"
"2022-04-16 00:00:00",263,14220990.94
"2022-04-17 00:00:00",282,14666819.14
"2022-04-18 00:00:00",307,15432220.89
"2022-04-19 00:00:00",303,15309506.78
"2022-04-20 00:00:00",304,15540464.07
"2022-04-21 00:00:00",331,17089924.79
"2022-04-22 00:00:00",363,18849294.26
"2022-04-23 00:00:00",380,19727439.02
"2022-04-24 00:00:00",406,20685193.23
"2022-04-25 00:00:00",403,19823587.93
"2022-04-26 00:00:00",462,23434627.44
"2022-04-27 00:00:00",474,23491779.64
"2022-04-28 00:00:00",499,23842191.48
"2022-04-29 00:00:00",498,23190874.49
"2022-04-30 00:00:00",507,22440948.41
"2022-05-01 00:00:00",562,24617695.32
"2022-05-02 00:00:00",606,27387325.96
"2022-05-03 00:00:00",638,28630554.58
"2022-05-04 00:00:00",645,28911450.83
"2022-05-05 00:00:00",638,28207744.8
"2022-05-06 00:00:00",640,27720154.48
"2022-05-07 00:00:00",600,26591087.39
"2022-05-08 00:00:00",544,23848924.52
"2022-05-09 00:00:00",582,22746925.93
"2022-05-10 00:00:00",627,21745215.1
"2022-05-11 00:00:00",648,21564707.11
"2022-05-12 00:00:00",685,21433072.04
"2022-05-13 00:00:00",731,22182820.29
"2022-05-14 00:00:00",746,22069260.21
"2022-05-15 00:00:00",726,21038242.24
"2022-05-16 00:00:00",623,18179060.15
"2022-05-17 00:00:00",527,14429315.04
"2022-05-18 00:00:00",504,13432723.5
"2022-05-19 00:00:00",458,12611459.37
"2022-05-20 00:00:00",393,10819949.14
"2022-05-21 00:00:00",373,10334271.39
"2022-05-22 00:00:00",363,9885961.13
"2022-05-23 00:00:00",343,8959487.89
"2022-05-24 00:00:00",309,8254428.87
"2022-05-25 00:00:00",287,7572924.9
"2022-05-26 00:00:00",260,6716654.81
"2022-05-27 00:00:00",246,6094260
"2022-05-28 00:00:00",232,5577470.01
"2022-05-29 00:00:00",241,5373771.92
"2022-05-30 00:00:00",249,5636167.74
"2022-05-31 00:00:00",252,5594724.73
"2022-06-01 00:00:00",244,5397794.91
"2022-06-02 00:00:00",247,5242128.53
"2022-06-03 00:00:00",247,5231289.41
"2022-06-04 00:00:00",254,5227317.94
"2022-06-05 00:00:00",232,4957569.14
"2022-06-06 00:00:00",235,4911929.42
"2022-06-07 00:00:00",223,4587654.21
"2022-06-08 00:00:00",224,4307954.75
"2022-06-09 00:00:00",210,4050675.67
"2022-06-10 00:00:00",212,4051929.04
"2022-06-11 00:00:00",251,4622064.35
"2022-06-12 00:00:00",308,5130382.36
"2022-06-13 00:00:00",486,6731869.65
"2022-06-14 00:00:00",621,7994860.91
"2022-06-15 00:00:00",687,8665934.46
"2022-06-16 00:00:00",753,9381124.06
"2022-06-17 00:00:00",794,9533858.75
"2022-06-18 00:00:00",812,9449052.78
"2022-06-19 00:00:00",767,8809715.74
"2022-06-20 00:00:00",629,7428962.7
"2022-06-21 00:00:00",528,6578609.16
"2022-06-22 00:00:00",456,5749721.95
"2022-06-23 00:00:00",385,4765526.53
"2022-06-24 00:00:00",338,4291211.21
"2022-06-25 00:00:00",274,3551113.44
"2022-06-26 00:00:00",265,3572735.59
"2022-06-27 00:00:00",227,3078292.3
"2022-06-28 00:00:00",203,2798371.12
"2022-06-29 00:00:00",220,3084888.58
"2022-06-30 00:00:00",239,3410063.57
"2022-07-01 00:00:00",250,3579277.57
"2022-07-02 00:00:00",263,3686178.57
"2022-07-03 00:00:00",253,3560502.28
"2022-07-04 00:00:00",250,3541449.72
"2022-07-05 00:00:00",267,3671447.85
"2022-07-06 00:00:00",254,3523663.12
"2022-07-07 00:00:00",246,3490269.03
"2022-07-08 00:00:00",232,3310805.67
"2022-07-09 00:00:00",214,3147555.47
"2022-07-10 00:00:00",216,3157927.73
"2022-07-11 00:00:00",205,3002102.66
"2022-07-12 00:00:00",176,2585312.34
"2022-07-13 00:00:00",168,2355339.36
"2022-07-14 00:00:00",161,2123092.26
"2022-07-15 00:00:00",159,2002185
"2022-07-16 00:00:00",169,2141278.36
"2022-07-17 00:00:00",173,2182207.56
"2022-07-18 00:00:00",196,2573150.93
"2022-07-19 00:00:00",208,2827573.96
"2022-07-20 00:00:00",220,3144913.36
"2022-07-21 00:00:00",238,3420841.04
"2022-07-22 00:00:00",260,3790519.24
"2022-07-23 00:00:00",251,3641108.71
"2022-07-24 00:00:00",251,3603093.47
"2022-07-25 00:00:00",249,3465189.86
"2022-07-26 00:00:00",270,3497315.38
"2022-07-27 00:00:00",274,3435119.61
"2022-07-28 00:00:00",261,3292804.43
"2022-07-29 00:00:00",240,3062665.87
"2022-07-30 00:00:00",242,3037452.64
"2022-07-31 00:00:00",228,2925000.58
"2022-08-01 00:00:00",204,2764780.66
"2022-08-02 00:00:00",170,2635213.25
"2022-08-03 00:00:00",156,2531029.94
"2022-08-04 00:00:00",163,2466041.09
"2022-08-05 00:00:00",159,2342794.53
"2022-08-06 00:00:00",155,2368302.46
"2022-08-07 00:00:00",159,2386261.13
"2022-08-08 00:00:00",153,2184066.78
"2022-08-09 00:00:00",156,2124568.67
"2022-08-10 00:00:00",180,2456027.99
"2022-08-11 00:00:00",175,2576482.7
"2022-08-12 00:00:00",166,2451548.18
"2022-08-13 00:00:00",184,2665975.24
"2022-08-14 00:00:00",227,3193789.72
"2022-08-15 00:00:00",258,3629882.17
"2022-08-16 00:00:00",256,3550950.46
"2022-08-17 00:00:00",240,3296708.33
"2022-08-18 00:00:00",222,2966474.64
"2022-08-19 00:00:00",251,3205978.42
"2022-08-20 00:00:00",267,3354678.18
"2022-08-21 00:00:00",240,2900405.87
"2022-08-22 00:00:00",232,2609441
"2022-08-23 00:00:00",250,2705257.81
"2022-08-24 00:00:00",252,2708714.99
"2022-08-25 00:00:00",292,3239087.74
"2022-08-26 00:00:00",298,3312107.68
"2022-08-27 00:00:00",275,3017729.58
"2022-08-28 00:00:00",262,2961043.36
"2022-08-29 00:00:00",282,3354685.64
"2022-08-30 00:00:00",295,3671378.22
"2022-08-31 00:00:00",357,4481871.61
"2022-09-01 00:00:00",354,4335643.38
"2022-09-02 00:00:00",346,4222709.7
"2022-09-03 00:00:00",358,4235131.67
"2022-09-04 00:00:00",382,4408159.25
"2022-09-05 00:00:00",363,4151702.22
"2022-09-06 00:00:00",374,4024707.9
"2022-09-07 00:00:00",374,3617449.81
"2022-09-08 00:00:00",371,3549821.09
"2022-09-09 00:00:00",352,3408950.49
"2022-09-10 00:00:00",355,3581305.47
"2022-09-11 00:00:00",330,3347277.31
"2022-09-12 00:00:00",324,3427291.43
"2022-09-13 00:00:00",292,3166766.24
